,yorum,positivity
386,urun fiyatina gore iyi sim karti hemen bozuldu disinda iyi,1
387,hersey mukemmel basslari iyi veriyor tam fiyat performans urunu sadece paketleme biraz uzdu fakat kulaklikta hasar yoktu sagolun 1 gun ulasti elime kargo olumsuz yorumlari soru cevaplari gorunce bayram oncesi cekinerek siparis vermistim mevcuttaki kirilinca acil ihtiyacini hizlica uygun urunle saglamak almistim ama fiyata bekledigimden iyi urun cikti sadece ihtiyacim olmayacagi radyoyu denemedim gerisi tek kelimeyle iyi ,1
388,fiyatina gore iyi fiyata gore iyi urun,1
389,sarj ederken kirmizi isik sure gidiyor,1
390,harika kulaklik tavsiye ederim ,1
391,urunun verdigi ses kalitesi cok iyi tam fp urunu sadece aramalarda ses kotu gidiyor ama keyifle muzik dinleyebilirsiniz,1
392,urun guzel tavsiye ederim mavisi aldim 4 yerde cizik vardi oglum a hediye almistim guzel urun ,1
393,fiyatina gore super baslari guzel fiyata alinabilecek guzel kulaklik,1
394,urunu begendim suru ozelligi ses kalitesi guzel tavsiye ederim,1
395,kulakligin tek tarafi calismiyor garanti belgesi fatura yollamislar dandik sakin almayin paraya yazik uzerine biraz koyup kaliteli alin ,1
396,urun performans iyi ,1
397,urun guzel ama pili saglam degil,1
398,33 tl ye urun almak guzel kalitesini fiyatina gore begendim 10 kati fiyatina satilanlarla kiyaslamiyorsaniz tavsiye ederim ,1
399,7 adet aldim hicbir sorun cikmadi mahza numara dusunmeden alin derim guzel,1
400,fiyati gayet uygun kablosuz katlanabilir ozelligi kullanimi rahat ,1
401,3 alisim oncekilerin basina biseyler gelmisti okuyup ufleyip yollasaydiniz urun hos fiyatida iyi urune gore sadece streio degil ama ses kalitesi guzel ,1
402,beklentinizden fazlasi ,1
403,daga yurtdisindan aldigimiz kulaklik kaybolunca alalim dedik ama yanindan gecemez derece vasat malzemesi an kirilacak sekilde hicbir bekletiniz olmasin biraz idare eder o ,1
404,fiyatina gore iyi urun ses kalitesi sahane degil idare eder ,1
405,urun sikintisiz herseyj calisiyo manuel olarak kablo ilede bagladim sikinti yok plastik malzeme biraz zayif nazik kullanmak lazim ,1
406,bluetuth 5 0 yeni versiyon fiyat performans urunu tek sikinti kablo kullanildiginda hafif cizirti yapiyor ertesi gun siparis elime ulasti ,1
407,urun parasini fazlasini hakediyor siddetle tavsiye ediyorum alabileceginiz iyi kulaklik bu paraya sesi guzel cikiyor yuksekde bile ,1
408,urun guzel tam istedigim gozunuz kapali alabilirsiniz ğğ,1
409,cocuk sevindi idare eder,1
410,basi muzik kalitesi iyi malzeme kalitesi zayif dikkatli kullanmak lazim iyi urun,1
411,kulaklik gayet iyi ses veriyor fiyatina gore sadece gore kulakliklari kucuk baska hicbir sikintisi yok,1
412,tavsiye ederim guzel ses veriyor malzeme kalitesi yeterli begendim,1
413,10 numara yildiz urun tavsiye ederim ,1
414,fm radyo frekans bulma ozelligi zayif radyo yayini bulamiyor ama ses kalitesi fena degil ,1
415,f p urunun tik ustunde fiyata kacmaz tane siparis verecegim ,1
416,urunden ikinci siparisi verdim parasina gore kullanisli ses kalitesi iyi urun ,1
417,gayet guzel bi urun kirilcakmis geliyo ama zorlamazsaniz bise olmaz ,1
418,kizim kirmizi renkli olani aldim fiyatina gore gayet guzel memnun kaldik ,1
419,harikaydi alin bence,1
420,aldigimdan 3 gunu urunun bi tarafindan ses gelmemeye basladi tek tarafli ses cikariyor,1
421,urunu begendim fiyat uygun kalite guzel,1
422,hayirg kotu bi urun cocuklar ideal urun,1
423,plastigi kaliteli degil sert plastik bluetooth u gayet iyi ama oyunlarda biraz gecikme o yuzden oyunlari kablosunu takarak oynayin derim kulak pedleri yumusak degil uzun sure takinca kulaginiz aciyor ama nihayetinde 34 tl o yuzden bunlari gormezden gelebilirsiniz fiyatina gore gayet iyi,1
424,kenarinda ufak bi acilma plastigin yuksek ses veriyo bide disari geliyo ses,1
425,urun sesi net guzel begendim ama radyosu cizirti yapiyor olsam ilerde alacaklar radyonun gelistirilmesi lazim,1
426,urunu oglum almistim esimde begendi o istedi ses kalitesi yeterli plastik aksam ust duzey degil ama parasina deger urun ,1
427,urun hizli elime ulasti garanti belgesi faturasi yok fiyata iyi baslari iyi kargo 24 saatten kisa surede elime ulasti,1
428,urun bahsedildigi guzel sorunsuz geldi,1
429,fiyatina gore elestiri yapin gayet guzel,1
430,urunu begendim surede gonderildi,1
431,kablosuz bluetooth gayet basarili baglanti leptop telefon vb denedim sorun olmadi ses kalitesi gayet ideal kendinden mp3 calar olmasi ayrica guzel malzeme kalitesi fazla degil fiyata anca bence fiyata bedava uzun zamandir beklentimin ustunde urun gormedim ses orta bas mukemmel 15 metre rahat cekiyor ses net gidiyor karsiya yaklasik iki saattir oynuyorum telefon ios ekraninda kulaklik pil gostergesi cikiyor azalmadi ayrica kulaklik uzerinden sarkiyi durdur baslat gorusmeyi baslat sonlandir tusu kocaman yorumlar sadece 33âº degerinde urun icindir 200-300 versem elestirebilirdim ,1
432,urun hafiza karti takili iken acilip kapaniyor begendim nerleze tavsiye ederim guzel kulaklik,1
433,guzel begendik tsk,1
434,firmayi tavsiye etmiyorum urun faturasiz radyosu calismiyor kulakligin icinden sallandikca ses geliyor baska magazayi tercih edin ,1
435,urun gercekten harika fiyat kardesim gormus siparis etmemi istedi ardindan urun gelince begendim kendime yegenime birer tane siparis ettim ,1
436,kizim tabletle kullanacakti telefondan bagladim kablosuz bayildim ses iyi gorseli guzel almayi dusunenler tavsiye ederim disarida pahali burda uygun tesekkurler ,1
437,harika muhtesem,1
438,guzel iyi kullanisli fiyatina gore,1
439,birer tane kirmizi beyaz siyah p47 kulaklik aldim beyaz olan mukemmel ama kirmizi olanda radyo yok siyah olanda radyo bozuk iade islemi baslattim ,1
440,urun gayet basarili sadece plastigi biraz dusuk kalite fazla terletiyor bluetooth cekim kalitesi ses kalitesi super bekledigimden iyi tavsiye ederim sarkida 4 5 saat gidiyor ,1
441,tavsiye ederim alanyadan selamlar,1
442,kulakligin basslari iyi oldugu tiz sesleri sikinti fiyata normal ama resmim yok ,1
443,sesi tasarimi gayet iyi,1
444,ucuz aldim hafiza kartini okuyor radyosu calisiyor bataryasi 2-3 saat gidiyor batarya bittiginde aux kablosuyla devam ,1
445,urun fiyatina gore guzel ama ses kalitesi siradan sesin kalitesi ugrasmayanlar kacirilmayacak urun ,1
446,cihaz guzel paraya alinacak kaliteli kulaklik urunden ilk kendime almistim babamla kardesim istedi siparis ettim kardesimin arkadasi istedi ikinciye istiyor guzel urun ama arizasiz gelirse begenicem asil begendigim 2 siparisi vermistim ,1
447,ses kalitesi olsun tasarim olsun ozellik olsun harika gercektende fiyatina gore mukemmel,1
448,hizli kargo tesekkurler,1
449,4 adet siparis verdim 2 si bozuk cikti iade ettim 50 sansiniz ses kalitesi fena degil ama radyosu calismiyor yinede alinabilir,1
450,fiyatina gore gayet guzel urun ,1
451,fiyati gayet uygun guzel karne hediyesi ,1
452,terleme yapiyor plastigi kotu,1
453,guzel kaliteli urun,1
454,urun fiyatina gore iyi magaza urunu kargoya cek hizli verdi ama kargo maalesef subeye gelen urunu 5 gunde teslim edebildi ustune birde sisteme teslim ettik giris yapiyor ,1
455,plastigi biraz sert ama idare eder bence alin ,1
456,kulaklik ses kalitesi iyi kullanimi sik harika tesekkurler ,1
457,sadece radio frekanslarini ayarlayamadik fiyata gore guzel urun,1
458,hayir beklenti disi urun ,1
459,siparisim cabuk geldi kargolama ozenliydi kulakligin wireless ozelligini denemedim fakat bluetooth kullanimi guzel telefonuma tabletime bilgisayarima rahatlikla baglandim ayrica ev denedigim radyo ozelligini begendim biraz cekim gucu geldi evin ic kismi oldugundan olabilir sonucta guzel kullanisli urun fiyata iyisi zor bulunur ama kolay kirilabilecek duruyor dikkatli kullanmak lazim radyolu kablolu kablosuz kullanim ses seviyesi yeterli 13-14 yas civarina yastan sonrakiler yolculukta muzik vesaire diyorsaniz asla fazla para vermeye gerek yok 8 yasindaki ogluma aldim begendi sadece uzun kulanimda kulak ust kisminda bi agri yapiyor tepe kisminda sunger yok gore alin ,1
460,urun sterio deniyor ama monodur sesi disari veriyor ses kalitesi iyi diyemem bilmiyorum kalmali kalmamali karar veremedim ,1
461,resim yuklenebiliyormus paketleri cope attiktan gordum ,1
462,sesi disari fazla olmasa veriyor ama ses kalitesi fiyat orantili malzeme kalitesi olarak fazla 3 ay dayanir urun tam anlatildigi gibiydi ozellikle rammstein sert muzik grubunh dinleyip kulaklik bulmakta zorlanan varsa guzel kulaklik tek sikintisi katlama esnasinda yeri kirilacak korkusu surat kargo gobderiliyor biraz yavas teslim ediliyor ,1
463,yegenime aldim kendisi memnun fiyata kalite kacmaz,1
464,sizinle pazarlik yaptik hayir urun kullanilmis stand urunu ezik buzuk geldi kutu kamyon carpmis kulaklik head kismi katlanirken renk degistirmis cocugu sevindirmek karne hediye almak istedim rezil ettiniz gittim vatanda aldim ciktim yaziklar olsun yaa ,1
465,tek sorun telefonda konusurken karsi taraf sesimi kotu algiliyor,1
466,urun gayet hizli sekilde elime ulasti gayet kaliteli seye benziyor,1
467,fiyat performans orani mukemmel ,1
468,fiyat performans olarak guzel urun iki tane aldim sorun yok ,1
469,fiyat performans olarak guzel urun iki tane aldim sorun yok ,1
470,resimdekinin aynisi geldi urunu denemedim ama guzele benziyo ,1
471,almak isteyen gonul rahatligiyla alabilir urun piyasaya gore gayet uygun,1
472,urunun aynisini normal esnafta ucuk rakamlar isteniyor o paraya aynisindan iki tane aliyorum nerdeyse o yuzden burdan aldim urun gayet iyi,1
473,arkadaslar urun iyi bas sesleri olsun baglanti olsun sikintisiz guzel 40 liraya iyi hizmet 2 gunde elime gecti hizli guvenilir magza tavsiye ederim begendim beklentimi karsiladi ,1
474,ewet urun guzel ,1
475,urun eksik plastik uzerinde yapiskan kalintisi geldi iade ettim yapiskan kalintisi red edildi sahtekar magaza uzak durun ,1
476,kulaklik gayet guzel para verip guzel ses kalitesi isteyenler tam istediginiz urun 40 tl lik urunden jbl ses kalitesi beklemeyin ama jbl e yakin sesi begendim,1
477,fonksiyonel urun olmasi guzel radyo olmasi farkindalik katmis kutudan kulaklik kablosuda cikiyor kablolu olarakta kullanilabilir fakat cikan kablo pek kaliteli degil sarz kablosu epey kisa cikiyor fiyatina gore ozellikler fena degil ,1
478,f p urunu fiyatina gore guzel tavsiye ederim,1
479,urunu fiyatina gore degerlendirecek olursak 40 lira bandinda guzel bi urun ses bakimindan uzmez ancak kulak sungeri biraz sert uzun kullanimda kulakta agri olusabilir haricinde kargo firmasi acilen degistirilmeli ,1
480,kulaklik f-p sayilir idare eder ses kalitesi sarj suresi iyidir ama kotu plastik kokuyor ,1
481,hayir kalitesiz hizmet kalitesiz urun malzemesi,1
482,yalnizca ice dogru katlamada biraz sikintili cabuk bozulabilir duruyo disinda ses kalitesini gorunumu iyi ,1
483,urun fiyata kiyasla gayet sik kaliteli,1
484,ses standart kulakliktaki cikiyor herhangi sikintisi yok icindeki mekanizma stabil olmadigindan kosu bandinda kullanirsaniz mekanizmanin oldugu kulaginiz takir takur cikan sesten zarar gorebilir yerinizde olsam 40 lira koyar kalitelisini alirim guzel alisveris oldu,1
485,fiyatindan korkarak aldim ama seyi muhtesem kolay bluetooth baglantisi gerceklesiyor ses iyi disari ses gitmiyor tasarim guzel tavsiye ederim bosuna pahali urunlere para harcamayin ,1
486,gidin fakire fukaraya verin urune vereceginize pili dayanmiyor disari kulaktan ses veriyor arada tek kulak sesiz kaliyor para verdigim kendimi suclu hissediyorum magazaya yorumum yok iletisime gecmedim urune kizginim,1
487,arkadaslar urunun baglantisi kolay sarji kotu degil parasina gore guzel kotu baglanti arada tokezliyor ses bozuluyor ama piyasadaki kaliteli urunlere bakarak fiyata cokda abartarak kotu yorum yapanlar hata ediyor ,1
488,urun gayet guzel sorunsuz elimize ulasti kablo dolasti derdi yok ama isterseniz kablo cikiyor kutudan takip kullanabilirsiniz ses kalitesi gayet iyi oldukca yuksek disariya ses vermiyor 8 sinifa giden kardesim gayet yeterli ğ,1
489,ses kalitesi iyi ama urunun plastigi pek kaliteli degil nazik davranilmazsa kirilir kulagima tam kavramadi fiyatina gore iyi urun fakat 80-100 tl lk urunlere uymaz iyi olsun diyorsaniz vestel k550 modelini tavsiye ederim o iyi ses kalite ama 80 tl civari oncede almistim urunden kirildigi yeniden aldim ancak aldigim urunun ses kalitesi kotu surekli cizirti kisikta olsa yuksekte olsa ,1
490,urun fiyatina gore uygun,1
491,urun fiatina gore iyi yuksek seste dinleyemiyorsunuz ses kalitesi dusuyor ,1
492,urun ses kalitesi guzel kullunisli,1
493,kimse 40 liraya dunyalari vermez teknosada 60 tl ye satilan kablosusz kulaklik yaninda sonuk kalir sesi disariya vermiyor azcik veriyor sarji guzel telefon gorusmeleri guzel yapiliyor kesinlikl gecikme yok seste filmdeyken oneririm fiyata dunyanin iyi kulakligi,1
494,parasini cope atmak isteyenler ideal kulaklik,1
495,surat kargo 4 gunde teslim etti urunun sol tarafindan ses gelmiyordu actim kablosunu lehim yaptim duzeldi ses kalitesi gercekten iyi hafiza karti taktim 1 gb hemen algiladi muzik gecisleri hizli ,1
496,beklentiyi dusuk tutmak gerek fiyata gore idare eder ,1
497,urun 2 ay dayanabildi malzeme olarak biraz kalitesiz cikti iki taraftan kirildi yapistiriyorum o kiriliyor yapistiriyorum o kiriliyor hayal kirikligina ugratti artik vazgectim almadan dusunun derim resim ekleyemedim hata veriyor ,1
498,yorumlara guvenerek aldim ayni gun kargolandi ses kalitesi oldukca iyi geldiginden beri sarj etmedigim halde 3 saate yakindir kullaniyorum ,1
499,iyi guzel hos mns,1
500,pek beklemeyin ucuz normal bi kulaklik sikinti cikmadi kargoda vs kutu uzerindeki fm leri daksillemisler bilmiyorum bluetooth kaliteli degil ama idare eder fakat kulaklik mono calisiyor stereo yok ses sag soldan ayri gelemiyor tek sekilde duyuyorsunuz arastirdim bulamadim ,1
501,siyah siparis ettim ama beyaz geldi ses kalitesi bekledigim iyi degil ama fiyatina gore iyi satici ilgili sorulariniza cevap veriyor ,1
502,hizli kargo iletsim iyi sorulara cevap veriyor urun rengi dogru geldi kargo paketi duzgun yapilmis kirik catlak yoktu usb kablosu aux kablosu cikti kutudan sadece ama urun p47 olarak gelmedi modish mds-1451 model gondermis isimleri farkli olsada ayni urun oldugunu belitti tekrar geri gondermek urasmadim ,1
503,gercekten harika bi urun fiyatina gore 250âº vermek bi kulakliga salaklik,1
504,urun super paraya iyi beklentimin ustunde cikti ,1
505,fiyatina gore gayet bi urun ses kalitesi idare eder olsun fiyata fiyatina gore iyi urun kesinlikle useable memnun kaldim sesi oldukca iyi aux kablosu cikti tam sporda kullanmalik fakat aux kablosu olunca disarida kullanmak kolay olacak tesekkur ediyorum kardesime alacagim arkadaslarima onerecegim,1
506,soru sorunca hemen yanitliyorlar herseyi mukemmel,1
507,basarili satici guzel paketlenmis,1
508,urun guzel radyolu olmasi ayri guzel ,1
509,fiyatina gore guzel urun almanizi tavsiye ederim ,1
510,basi guzel sesi guzel ama birz kucuk gorunuyor suru sikintili yorum vardi fakat gayet guzel urun arada curukler cikabilir urunde urunler saglam cikmis begendim parasini hak eden urun herseyi calisiyor seside guzel numara yildiz olsun ,1
511,anlatmaya gerek yok al gor mis kulaklik olabilemez kulaklik degil hoparlor sanki inanilmaz guzel ses cikariyor radyolu olmasi ayri tatli hayran oldum,1
512,arkadaslar fiyata alip alabileceginiz kaliteli urun diyebilirim numara yildiz,1
513,fiyat gayet guzel urunde guzel ,1
514,ses kalitezi mukemel paraya yemin ederim iyi iki kat kutusu ozenli duzgun saglam herhangi sorununyok herkeze tavsiye ederim,1
515,kimsenin yorumuna bakmayin bence paraya bulunmaz hint kumasi verdigim kurus helali hos olsun tavsiye etmiyorum siddetle alin pisman olmassiniz,1
516,tam f p urunu alin pisan olmazsiniz ilgili magaza sorunsuz alisveristi fiyatina gore super urun tavsiye edilir fotograf ta cocuguma siparis ettim kullaniyor sikinti yok tskler aldigim 4 kulaklik fiyatina gore harika sorunsuz kesinlikle tavsiye ediyorum,1
517,ses stereo degil fm cekmiyor anca 1-2 kanal sirf mp3 oynatici ozelligi almistim o iyi disa o ses verdigini dusunmuyorum kullanicilarin aksine 2 urun siparis etmistim beyaz siyah ikisinin rengi iyi sarji gayet uzun dayaniyor sarj seviyesini android telefonlarda uygulama iphonelarda bildirim cubugunda bulabilirsiniz fiyatina gore iyi genel olrak begendim yalnizca biraz hassas olmasa iyi olabilirdi ayrica sayin ureticiler stereo olmasi onemli ,1
518,kirmizi olanini istemistim disi siyah ici kirmizi yaziyordu fakat gelen disi gri ici kirmizi ,1
519,urun gayet hizli kargolandi,1
520,marka delisi olmayin ister kablolu kullanin ister kablosuz ister hafiza karti ister radyo yok yok ses kalitesi super saglam urun hersey guzeldi n11 yaptigim guzel sorunsuz alisveristi ,1
521,hersey anlatildigi urunde,1
522,hizli kargo tesekkurler ,1
523,ayni gun kargoya verildi urunle ilgili sordugum sorularda magaza tatmin edici cevap verdi tesekkurler ,1
524,kargo sirketi guzel degil ama magaza fena degil ,1
525,muazzam ses muazzam kalite muazzam dizayn muazzam kulaklik,1
526,efsane urun tesekkur ederim muhtesem otesi kotu yorumlar istisnalar olabilir ama fazlasiyla memnun kaldim ,1
527,urun fiyatina gore gayet guzel ses kalitesi iyi yalniz cihaz bagli ilken digerini algilamiyor bluetooth bekledigimden iyi cikti fiyatina gore gayet guzel ses cikislari kizim almistim memnun kaldi ,1
528,2 defa urunu aldim seferinde kulak kismindan kiriliyor ses kalitesi gayet guzel ama saglamlik acisindan asiri kotu tavsiye etmiyorum,1
529,magaza hemen sorularima yanit verdi paketlemesi ozenliydi magaza hemen urunu kargoya verdi ,1
530,urun fiyatina gore guzel,1
531,urunu guzel buldum cocugum begendi onceki aldigim mp3 lerin 3 ude bozuk cikti urunu gordum simdilik nazar degmesin guzel fiyatina gore iyi magza yorumlari guzel okudugum kadariyla sorun oldugunda urunun arkasinda duruyor,1
532,acikcasi paraya kaliteyi bekliyordum keske alsaydik ,1
533,tesekkurler hersey yolunda gitti ,1
534,fiatina gore guzel,1
535,urunu begendim magazayi degil anlatayim urunu paketiyle posetin icine koyup gonderdiler kargo calistiklari firma hepimizin malumu surat kargo kargolari rovasata yaparak yukleme yapan firma dogal olarak hasarli geldi kulaklik ayni gun urun hasarli oldugu aldigim subede kendim farkli paket yapip geri gonderdim ayni kutunun icine koyup gondermisler degisim urununu uzatmayayim plastik kasa eklemler darbe basinca dayanikli degil kapatip acarken kirilacakmis hissi veriyor ses kalitesi 10 uzerinden 6 5 - 7 verilir bas tizler fena degil ama baglantiya baglarsaniz baglayin equalizer efektlerini yere verebiliyor yalniz oldukca hafif arti ozellik ozellikleri calisiyor ancak bluetooth konusunda soylenildigi 10m lik menzili yok odanin icinden almaya kalkayim kesintiler basliyor tft sd card kullanilimi derece kullanisli telefondan bagimsiz takilabilirsiniz kulakligin ic tarafinda yastiklar vinleks kaplama gayet yumusak ancak plastik malzeme hassas oldugu esnetemedim kirilacak biraz sikiyor yuzden terleme yapabiliyor kulaklarinizda yazin rahat kullanilabilecek urun degil bunlar goz onune alindiginda verdiginiz paraya anca degecek urun ,1
536,3 urunu aldim sorun sikinti yok herseyiyle harika kulaklik tavsiye ederim,1
537,gayet guzel tavsiye ederim,1
538,urun guzel sesi mukemmel veriyor tavsiye ederim dusunmeden alin ,1
539,urun tam fiyat performans urunu akilli tv telefon tablet hepsinle eslestirdim fiyata super,1
540,guzel urun tavsiye ederim,1
541,kirik geldi montalama hatasindan kulaklik yeri kirikti evde kendim yaptim oturup ses istedigim degil,1
542,1 gunde sorunsuz sekilde elime ulasti tesekkurler,1
543,sesi disariya veriyor nedense sesi arttirip azaltamiyorum birisiyle konusurken ses net gitmiyor,1
544,fiyatina gore gayet iyi anlik hicbir problem yok,1
545,fiyatina gore gayet iyi urun,1
546,sarji ortalama 3-4 dayaniyor yaklasik 1 saatte sarj oluyor bt mesafesi 7-8 sd karttan calmada sikinti yok ses kalitesi oldukca kaliteli philips extra bass kulakligim ayni kalitede ses veriyor sarj vb yuvalari disarda oldugu terden etkilenmiyor sayede kosarken sikinti olmuyor kulaklara baski yapmiyor ama kosarken kulaktan dusmuyor kafa bandindan katlanmasi tasima acisindan pratiklik sagliyor tek kotu tarafi sesi disari veriyor sessiz yerde 2 metre mesafeden calan sarkiyi anlarsiniz ,1
547,gayet basarili alisveris oldu ,1
548,urun gayet kullanisli gorunuyor i aux kablosu mevcut sd karti taktim gayet guzel ses kalitesi tavsiye ederim 5 verecektim ama sonradan hatirladim kulaklikta cizirti oluyor arada sirada ama iyi denecek bisey degil fiyat performans urunu,1
549,urunu begendim bas guzel vuruyor sporda iyi gidiyor tavsiye ederim kardeslerim guvenebilirsiniz,1
550,sadece mp3 lerde sd karttan calarken tutukluk yapiyor kayittan olabilir bilemiyorum ,1
551,gayet is gorecek urun ,1
552,gayet guzel urun ,1
553,kulaklik harika esime almistim baktim iyi kendime aldim kesinlikle dukkandan alin,1
554,fiyatina gore makul alinir kesin,1
555,muazzam fiyata,1
556,urun iyi kaliteli sd kart fonksiyonunu denemedim diyemem,1
557,urun gayet basarili ses kalitesi yeterli seviyede telefonla hemen eslesti radyo guzel calisiyor fiyata alinabilecek urun paraya iyi teknoloji ama kalitelimi derseniz kaliteli degil kapsonumu cekerken kafamdan dustu paramparca oldu tekrar topladim sarzi dayanmiyor hemen bitiyor onceki kulakligimin bataryasiyla degistirdim suanda kullaniyorum memnunum ses kalitesi iyi dedigim memnunum nede olsa ucuz etin yahnisi yavan olur ,1
558,kulaklik sik guzel ses kalitesi mukemmel hesapli fiyat tesekkurler ,1
559,urun aciklamalarda anlatildigi gibiydi *urun aciklamalarda anlatildigi gibiydi *,1
560,guzel urun guzel hizmet tesekkurler tavsiye ederim,1
561,urun fiyat performans bakimindan tavsiye ederim ses kalitesi beklenenden iyi hafiza karti destegide gecekten iyi tavsiye ederm ,1
562,gayet guzel fiyatina gore kaliteli etkili urun ,1
563,urun anlatildigi gayet guzel,1
564,super urun f p 21 01 19,1
565,bluetooth baglantisi guzel urunun sesi guzel disariya fazla ses veriyor hafiza karti takip denedim oda guzel ancak fm radyo olayi cok kotu adiyaman merkezdeyim tarama yapiyorum 1 tane frekans bile bulmuyor kulaklikta radyoda olmazsa olmasin diyorsaniz gonul rahatligiyla alabilirsiniz ,1
566,yorumlarda kisinin belirttigi tam fiyat performans urunu 600-700tlâlik urunlerden eksigi yok fazlasi ayrica magazanin paketlemesi ozenli renk secimlerinde musterinin tercihini dikkate aliyorlar urunu gonderirken cocuklariniza guzel tatil hediyesi olabilir urunu 2 kez alisim ilkinden gayet memnundum ses kalitesi gercekten guzel sarji gayet guzel gidiyor kullanimi pratik olumsuz ozelliklerine gelirsek ilk olarak radyosu gayet iyi calisiyo calistiramamistim urun aciklamar kisminda calistigi anlatiliyor ama onunla alakali kisim radyosu net cekmiyor ikinci olarak malzemesi saglam bi malzeme degil boynumdan dustu tekrar kullanilamayacak sekilde parcalandi genel anlamda urunden memnunum fiyat performans gayet basarili ikinci kez aldim hala severek kullaniyorum ,1
567,urun normal olarak guzel sesi radyolarinin calismasi bluetooth algilamasi vs guzel sarjini denemedim ama guzel gozukuyordur insallah alinabilir kullanilabilir ama kulakligin 3 4 tane yerinde cizik olmasi cizilmis olmasi kotu duruma soktu kusura bakmayin 3 puan verdim eger urunu aliyorsam cizik olmamasi gerek cizip yollanmis gibiydi ,1
568,siparisimden 1 gun kargo ulasti urun fiyatina gore oldukca islevsel,1
569,hayir gorundu degil korgo firmasi duzgun calismiyor,1
570,urun kullanma sansi buldugum orta sinif kulakliklar ayni seviyede bekledigimden kaliteli geldi seviyedeki urunler baska markalar altinda 100 ila 200 lira arasinda 300 liradan sony jbl basliyor tam olarak fiyat performans urunu diyebilirim malzemesi standart plastik ozenli kullaniciysaniz uzun sureler kullanabilirsiniz ,1
571,urunu ilk aldigimda saga kulaklik sallaniyordu degistirdim ikinci aldigimda ustunde cizik vardi ugrasmadim tavsiye ediyorum,1
572,gri rengi gorunce vurulmustum rengi tam bekledigim geldi ses sistemi mukemmel sadece radyosunu ayarlayamadim fiyati urune gore iyi hizli kargo guzel urun tesekkurler ,1
573,ses kalitesi baslar iyi ama sesi disariya cikarmasi hos degil uzun sure kullanimdan kulaklarimi acitti fiyati dusuk fazlasi beklenmez fiyat performans urunu fiyatina gore iyi kulaklik ,1
574,urun anlatildigi 10 metre mesafeye calisiyor ancak katlarken dikkat edin fazla kaliteli malzeme degil ses kalitesi fiyata gore gayet iyi almanizi tavsiye ederim ,1
575,ses kalitesi iyi radyo parazit ev cekmiyor blutut evde yerde cekiyor super ses kullanisli urun fiyata alinir ,1
576,bekledigim bisey cikmadi ama bunuda bekliyordum acikcasi fiyati 42 tl sonucta kullanilabilir ama kalteli guzel bisey beklemeyin kulaginizi kaplamiyor disari ses veriyor ama fiyatina gore normal bence bunlar ,1
577,urunu aldigim 2 gun arkadasimin cekmesiyle kirildi yaklasik hafta eve geldigim tarafininda kirik oldugunu gordum annem tasirken kirdim dedi iki tarafi bantli kullaniyodum urunu 1 bucuk ay gecen hafta sarja taktigimda sarj olmadigini gordum olmadigini anlamadim kabloyu cikardigimida sarj taktigimiz yer kablomla birlikte cikti ozet olarak kullandigim zamanlar sesi guzeldi memnundum bozuldugu zamam uzulmustum sanirim alicam sefer dikkatli kullanicam sizde yapin,1
578,urun super ses kalitesi bakimindan fevkaladeğ,1
579,urun vgzel arkadaslar gri mavi olandan aldim ses kalitesi guzel tavsiye ederim,1
580,satici iyi urun anlatildigi 4 4luk performans urun tamamiyla anlatildigi ozelligini denedim gayet iyi sarji iyi gidiyo ses mukemmel yuksek disariya ses veriyo ama zarari yok kablolu kulakligim ondada ses dissri veriyodu ama sirf kablo derdim olmasin aldim wireless baglantisi iyi 10mt mesafe ev gayet yeterli super telefonum sarjdayken odaya gidip sarkimi dinleyebiliyorum sarji vardi 1saat surede bitince ilk sarjimi taktim 2saat dolmadan ful dolmus isik sonmustu 3saattir kulagimda kulaklik hala sarj bitmedi performans iyi masallah telefon gorusmesi yaptim sesim karsiya cizirtisiz tertemiz gidiyo test edildi onaylandi buda kulakliktan bekledigim ozellikler birarada fiyata kadarini beklemiyordum aldiginiz para helal olsun kulakligim 1saatte kulakligimi acitiyordu saatlerdir takili hicbir aci agri yok kulaklikta uzatma payi yok saniyordum ama oda varmis cok sevindim soyliyim harika tavsiye ederim ,1
581,hizli gonderi saglam urun ilgili satici radyoyu ayarladim ist gayet iyi ses kalitesine gelince fiyata performans iyi ,1
582,magaza iyidi guzel fiyata bas ses vs iyi tavsiye ediyorum kesinlikle guzel,1
583,urun fiyatina gore cok basarili yorumlarda dedikleri sesi biraz disari veriyor ama fiyata bekliyorsunuz arkadas jbl performansimi gayet guzel begendim istedigim yeterli seviyede tatmin edecek fiyatina gore ses kalitesi iyi kullanimi kolay sade hos kulaklik sarj aux kablosu birlikte geliyor magaza ertesi gunu kargoya verdi hizli teslimat ,1
584,urun gayet guzel parasina gore kaliteli ses guzel geliyor ozellikleri calisiyor ,1
585,parasinin uzerinde urun,1
586,urun guzel ses kalitesi baya guzel,1
